umbral2|Lo de tener un Fiscal General proesado penalmente, no pasa en ninguna democracia.
Juan_Sorribes|@Alobope #51 Cerrar El juez Hurtado que no hace caso a los periodistas que dijeron que tenían el correo antes que el fiscal es el mismo que salvó a M Rajoy de la Gurtel y q salvó de ser condenados a varios del PP. Nunca condenó a ninguno! Las cloacas del estado siguen funcionando... Cada vez cobra más sentido lo q dijo Aznar " el que pueda hacer que haga Otra vez el mismo meme para sectarios demediados: El delito por el que se persigue al Fiscal General no es tener el mail, sino publicarlo violando DERECHOS HUMANOS FUNDAMENTALES. Y es un delito que solo puede cometer un FUNCIONARIO que revela información que tiene POR SU CARGO; Cualquier juez hubiese decidido lo mismo. Nadie salvó a Rajoy, contra el que no había más que insidias y ningún juez del supremo condena, lo hace el TRIBUNAL.
amundsana|Otra vergüenza más para España. Los socialistas van a dejar el país arrasado social y económicamente. ¡Menuda mafia!
Segistobre|Hace unas semanas el líder de Manos Limpias adelantó lo que iba a hacer este juez. No es arriesgado pensar que el juez Hurtado tenía la decisión tomada antes de empezar a investigar y la falta de pruebas no le ha supuesto un problema para seguir adelante.
Der_Waldgang|La fiscalía, ¿de quién depende? - ¿Eh? - ¿De quién depende? (Con tono insistente) - ... Del gobierno (?) - ¡Pues ya está!
Quetevotetxapapote|Para "tapar" el gatillazo de Feikjóo ayer en la Pza. de España los jueces PPeros salen en su auxilio imputando al FGE. Es muy burdo pero vamos con ello...
tienesrazon|Sánchez y Ortiz dimisión, y en breve a prisión.
seiya1977|Alvarone, palante.
tienesrazon|Hombre, hay que tener en cuenta que Ortiz actuó bajo las órdenes de Sánchez, los dos deberían estar dimitidos, por ser benévolo, en realidad tendrían que estar en prisión.
da_igual_8_que_80|No hay pruebas pero que mas da..
da_igual_8_que_80|@umbral2 #3 Cerrar Lo de tener un Fiscal General proesado penalmente, no pasa en ninguna democracia. Es que estamos en una dictadura...
Noticiero|Procedería la prisión provisional incomunicada si no dimite, ya que hay un grave riesgo de contaminación de la causa, puesto que el encausado es el jefe de todos los fiscales, un hecho anómalo y sin precedentes en ningún país democrático.
Der_Waldgang|Fiscal, afórate como el cuñado de Pedrete. Bada-búm!
Frankie_G|Los palmeros zurdos de este chat son de risa¿ vienen con el ¿y tú más¿ para no aceptar el bochorno que les debería producir votar según qué partidos¿. Menos mal que les queda nada y menos para volverse a la cueva de la miseria moral
Milenial|Esto demuestra que este país ha entrado en bancarrota jurídica
LaAmenazadeLosgolpistas|Hurtado,un juez absolutamente parcializado,obcecado y enloquecido contra el fiscal general del estado
ADELE_|@Marijose #88 Cerrar Va a dimitir ya o hay que sacarlo a gorrazos? A Mazón? Ese no suelta el cargo ni con agua hirviendo.
Segistobre|Ya lo dijo Aznar: "el que pueda hacer que haga".
PedroCorleone|Y siguen teniendo más del 25% de los votos... son una secta... esto no pasó ni con el PP
Hectitor|Qué vergüenza de gobierno!!
tienesrazon|Sánchez hace muchas cosas históricas, pero ninguna buena, NI UNA. Ya tendría que estar en casa como mínimo, igual que Ortiz, si tuvieran un poco de vergüenza.
Jamesinson|SÁNCHEZ DIMISIÓN!!!!!
mimundo69|@valenciano543 #96 Cerrar Al igual que Pedro Sánchez, el Fiscal general NO debe dimitir. Es mejor que sigan en su cargo, demostrando la podredumbre, corrupción y mentiras de los socialistas en sus cargos. Sino ponen a otros y nos dan lecciones de "regeneración". Mejor dos años de bochorno y desvergüenza pública. El fiscal general debe dimitir ya mismo. Degradación institucional sin precedentes. Vergüenza de socialistas que cierran los ojos ante tanta degradación, tanta corrupción, tanta desigualdad y sectarismo del partido socialista. Si siguen en el gobierno cambiarán las leyes y el código penal, seguirán ocupando las instituciones y los poderes públicos haciendo imposible unas elecciones democráticas y que Sánchez sea acusado de alta traición por crear un estado de naciones con vasconavarros y catalanes como países privilegiados.
Apagon_Sanchez|@slanny #70 Cerrar Jauria de hooligans de Sánchez empezando a ladrar en tres, dos uno... Ya que los ministros de Sánchez siempre salen de tres en tres repitiendo todos las mismas mentiras con las mismas palabras, propongo que les repartan un sueldo de ministro para cada tres. Por equilibrar las cosas, vaya.
Juan_Sorribes|@jonbil37 #54 Cerrar De quien depende el TS? Pues eso De nadie. No es como la fiscalía, que en teoría es independiente y en general históricamente lo ha sido bastante a pesar de los fiscales generales, hasta que llegó Sánchez y violando las leyes de nombramientos (tumbados seis de los de Dolores Delgado) y de funcionamiento, la ha convertido en un espantajo a su servicio, como señalan las asociaciones de fiscales unánimemente. Nadie puede influir en un tribunal supremo. Ya hemos visto la obstrucción, los ataques al instructor, las maniobras contra él y no ha servido de nada.
Elke65|Con lo fácil que le hubiera sido sacar una nota explicativa escueta diciendo que la Fiscalía no hace ofrecimientos directos de penas sino que tan solo abre protocolos de conformidad para que, si lo consideran conveniente, las defensas propongan calificaciones alternativas para intentar llegar a acuerdos con sus clientes y que dichas negociaciones están siempre bajo secreto y no prejuzgan la culpabilidad del acusado. En vez de eso, lo que, según el procesamiento, quería el Fiscal es que, para ganar el relato político, se diera publicidad al correo del abogado del novio de Ayuso para que se dijera que había confesado su culpabilidad. Y ese es el delito por el que se acusa al FGE ni más ni menos
tienesrazon|Sánchez dimite sinvergüenza.
Dluck|@ADELE_ #4 Cerrar A por él! El chivato debe pagar por meterse con el novio de la nena y su dulce fraude fiscal. Y hay que triturar a los de El diario.es, que lo descubrieron todo. Qué gran manifa ayer. Estimada @ADELE: no te he visto mucho por aquí, opinando sobre la fontanera ni sobre otros casos en los que el PSOE va en caída libre. ¿Es este un patético intento de salvarle la cara a este sonrisitas? (que por cierto, últimamente mucho ya no sonríe). A Pedro Trilero tampoco le podemos pedir su opinión, porque está escondido debajo de la mesa de SU Falcon, y no responde preguntas. Por otra parte, podéis estar tranquilos en Ferraz, porque los traidores del PNV os seguirán sosteniendo, que les venís muy bien.
Juan_Sorribes|@ADELE_ #52 Cerrar @ Umte # 27 Desde luego. Por ejemplo en Valencia el verbo "dimitir" no existe, te puedes cargar a 228 personas y como quien oye llover. La misma ridícula ceguera sectaria: los muertos de accidente se transforman en asesinatos, y el responsable no es el que anuló el plan hidrológico de 2004 que hubiese reformado el cauce y evitado 68 inundaciones en el barranco del Poyo porque molestaba a sus socios supremacistas catalanes, o sea Zapatero, ni la ministra que en 2012 lo aprobó y en 2022 lo volvió a parar porque hay que dejar al río que haga lo que quiera. No, el asesino es el que no dimitió en Valencia. Los otros, de ministros y de consejeros europeos, no tienen que dimitir... Es para descohonarse
Hispano1059|Este pájaro debería estar ya en un hotel estatal tipo alcala-meco, junto con el novio de la reina de Madrid. Los dos compartiendo celda, conociéndose y disfrutando. Me temo que NO lo veremos. Los dos se irán de rositas.
Ensaes|¿Como tapar el gatillazo de Feijoo de ayer?
Chipironet|Sinvergüenza!!
willbe|Los venezolanos están avergonzados de que nos comparen con ellos. Ánimos a mis amigos de allí. Todos los dictadores acaban cayendo.. aquí y allí.
estomesuena|Y, ¿quién va a ejercer de Ministerio Fiscal? ¿Él mismo? ¿Un subordinado? ¿Pumpido? Este asunto nos promete grandes tardes, tanto a los que están al sol como a los que guarecen "en la sombra"...
ADELE_|@Ras #95 Cerrar Aún así los lobotizados zurdos y extra zurdos siguen defendido al clan mafioso PSOE, increíble, salvo que estén a sueldo Déjelos. Jamás entenderán la belleza del fraude fiscal.
mardanione|Desgobierno de sinvergüenzas, ojalá todos los culpables acaben en la cárcel, sin que se salve ningún delincuente.
ADELE_|@valenciano543 #96 Cerrar Al igual que Pedro Sánchez, el Fiscal general NO debe dimitir. Es mejor que sigan en su cargo, demostrando la podredumbre, corrupción y mentiras de los socialistas en sus cargos. Sino ponen a otros y nos dan lecciones de "regeneración". Mejor dos años de bochorno y desvergüenza pública. Y como valenciano, no le parece que la gestión de Mazón fue impecable y merece un aumento de sueldo? O una estatua.
Estonovaporbuencamino|Bieeeeeeennnnnn
La_cloaca_de_la_Moncloa|Ni asi va a dimitir. Verguenza de gobierno.
XxXxXxXx|@Oliver44 #11 Cerrar El primer fiscal general del Estado sentado en un banquillo. Y señoras y caballeros siguen en su cargo. Esto solo puede pasar en España. En cualquier caso, es lo que ve en su casa, ni Abalos dimitió, y eso que han salido muchas cosas, suyas, de Koldo, de Aldama, de su churri ... y se sigue sentando en el Congreso, con un par, por supuesto, el Psicópata y sus adláteres no saben lo que significa esa palabra
Apagon_Sanchez|@Fakejo #10 Cerrar Espero que ese juez sea denunciado por precaricador..y espero que sea ya .esto si que son las cloacas de nuestro país...jueces imputando delitos sin pruebas ...es un golpe de estado perseguir al fiscal general del estado.. Golpe de estado es decir que no se puede imputar a quien tú señales. El que comete un delito, palante.
Nomegustalasmafias|@Agarratelaspalomitas #12 Cerrar Dirá que no hizo nada, que estaba escribiendo un libro. Si, estaba haciendo periodismo de investigación.
Apagon_Sanchez|@Oliver44 #11 Cerrar El primer fiscal general del Estado sentado en un banquillo. Y señoras y caballeros siguen en su cargo. Esto solo puede pasar en España. Este fango acompañará al PSOE el resto de su existencia, especialmente porque desde el partido no hicieron NAAAAAADA.
mimundo69|Necesitan tiempo. Bolaños está ya con la brocha gorda cambiando el código penal y las leyes. Así que el relato se reescribirá para que ninguna tropelía, robo, comisión...de la izquierda ni de sus socios y apoyos de legislatura sea ilegal, inconstitucional o considerado delito mientras se persigue al delator, al investigador, al juez y a la oposición para silenciarlos. ¿Ningún diputado socialista se avergüenza de este gobierno que privilegia a las minorías de extrema derecha e izquierda xenófobas nacionalistas?
davidc_r|@SoloDatos #60 Cerrar @ ToniqToni # 20 Separación de poderes jaja es que me parto y me mondo xD. Mire donde estuvo el que pueda hacer que se haga este finde. O mire los videos de este señor en anteriores juicios.Y digame si hay separación de poderes... jjjjjj lo del que pueda hacer que haga lo dices x la empresa de fontanería Leire S.l y todos los que la siguen para salvar al soldado pinocho y familia ???? Si es que de risa jjjjjj ahora mismo lo del y tú más se ha quedado en nada con todo lo que está pasando .... hipocresía barata
DrLopez|Se está haciendo Justicia frente a los bulos, patrañas, tergiversaciones, mentiras , juego sucio y delitos por parte de la izquierda y la ultraizquierda.
Juan_Sorribes|@ADELE_ #56 Cerrar @ dabalearrozalazorraelabad # 38 Pues si tiene usted alguna prueba de que el fiscal fue el responsable de la filtración, pásesela al Supremo. Porque de momento no tienen ninguna. La memez consuetudinaria... Un juez dedica miles horas y de páginas, la policía otras miles de investigación, los tribunales superiores aprueban la instrucción, se encuentran las pruebas de que el fiscal general pidió el expediente a otro fiscal, dió la orden de filtrarlo, los emails en que lo hizo, los whatsapps en que hablaba de ello, pero siempre queda algún sectario que sigue negando la evidencia. No hay nada más patético y ridículo. La única posible coartada, la locura del que lo hace: confundir tus delirios con la realidad es la definición de locura.
PorElMundo_sin_censores|@marioelfuncionario #9 Cerrar ¡Bueno, bueno, bueno, los amiguetes empiezan a ir P¿alante! Después de Begoñi, Abalorios (y Koldovarich). Ahora Cabezabuque. Nos vamos a divertir. Y no se olvide del Mozart de Badajoz.
Apagon_Sanchez|@JohnMcCLANE_ #13 Cerrar ¿Dimitirá? Ojalá me equivoque, pero tengo la sensación de que no lo hará. Los corruptos de Sánchez jamás dimiten. Y los del PNV encantados de todo el fango que les salpica. Les gusta el fango.
XxXxXxXx|Cualquiera que tuviese un mínimo de vergüenza, dimitiría hoy mismo, condicionado al resultado final del procedimiento, pero verse acusado de filtrar información ya es motivo para abandonar ese puesto. El P$OE ha convertido a España en una república bananera, en donde la Justicia está totalmente corrupta y sólo sirve para favorecer a los intereses del Gobierno en cuestión, damos vergüenza ajena
Queosden2020|Sin pruebas y sin na de na pero como la manifestación fue un fracaso total hay que mover algo.
Nunguno|@228dead #41 Cerrar el juez Untado no lo ha enviado a juicio todavía porque no tiene ninguna prueba y sería un marrón para el tribunal del supremo al que toque juzgarlo sin pruebas ni gaitas en vinagre, pa qué, y lo archivarán rápidamente y luego a decir que Pedro metió la mano, jajaj, pero hoy están atacando los jueces que van contra el Estado y el gobierno, falta el peinetas, porque ayer pincharon con su centésimo aquelarre contra Sánchez ¿¿
Nunguno|@ADELE_ #56 Cerrar @ dabalearrozalazorraelabad # 38 Pues si tiene usted alguna prueba de que el fiscal fue el responsable de la filtración, pásesela al Supremo. Porque de momento no tienen ninguna. claro que si campeona ,como no tienen ninguna prueba dictan auto de procesamiento.
